anyo,fecha_exportacion,evaluacion,alumno,ensenanza,curso,contenido,bloque_contenido,nota_numerica,tipo_nota,observacion,capacidades_inf,medidas_inf,borrar,sobreescribir
2021,19/10/2023 16:17:54,01,10237305,5,2712312846,028502, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10237305,5,2712312846,028100, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10237305,5,2712312846,028501, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10237305,5,2712312846,028503, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10237305,5,2712312846,028001, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10237305,5,2712312846,028505, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10237305,5,2712312846,028504, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10244133,5,2712312846,028502, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10244133,5,2712312846,028100, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10244133,5,2712312846,028501, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10244133,5,2712312846,028503, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10244133,5,2712312846,028001, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10244133,5,2712312846,028505, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10244133,5,2712312846,028504, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10258252,5,2712312846,028502, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10258252,5,2712312846,028100, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10258252,5,2712312846,028501, ,2,146988240, , , ,N,N
2021,19/10/2023 16:17:54,01,10258252,5,2712312846,028503, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10258252,5,2712312846,028505, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10258252,5,2712312846,028504, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10264726,5,2712312846,028502, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10264726,5,2712312846,028100, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10264726,5,2712312846,028501, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10264726,5,2712312846,028503, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10264726,5,2712312846,028505, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10264726,5,2712312846,028504, ,10,146988216, , , ,N,N
2021,19/10/2023 16:17:54,01,10268543,5,2712312846,028502, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10268543,5,2712312846,028100, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10268543,5,2712312846,028501, ,2,146988240, , , ,N,N
2021,19/10/2023 16:17:54,01,10268543,5,2712312846,028503, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10268543,5,2712312846,028001, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10268543,5,2712312846,028505, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10268543,5,2712312846,028504, ,2,146988240, , , ,N,N
2021,19/10/2023 16:17:54,01,10272099,5,2712312846,028502, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10272099,5,2712312846,028100, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10272099,5,2712312846,028501, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10272099,5,2712312846,028503, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10272099,5,2712312846,028001, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10272099,5,2712312846,028505, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10272099,5,2712312846,028504, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10319440,5,2712312846,028502, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10319440,5,2712312846,028100, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10319440,5,2712312846,028501, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10319440,5,2712312846,028503, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10319440,5,2712312846,028001, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10319440,5,2712312846,028505, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10319440,5,2712312846,028504, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10322846,5,2712312846,028502, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10322846,5,2712312846,028100, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10322846,5,2712312846,028501, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10322846,5,2712312846,028503, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10322846,5,2712312846,028001, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10322846,5,2712312846,028505, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10322846,5,2712312846,028504, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,10335909,5,2712312846,028502, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10335909,5,2712312846,028100, ,5,146988215, , , ,N,N
2021,19/10/2023 16:17:54,01,10335909,5,2712312846,028501, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10335909,5,2712312846,028503, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,10335909,5,2712312846,028001, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10335909,5,2712312846,028505, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,10335909,5,2712312846,028504, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,10358390,5,2712312846,028502, ,10,146988216, , , ,N,N
2021,19/10/2023 16:17:54,01,10358390,5,2712312846,028100, ,10,146988216, , , ,N,N
2021,19/10/2023 16:17:54,01,10358390,5,2712312846,028501, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10358390,5,2712312846,028503, ,10,146988216, , , ,N,N
2021,19/10/2023 16:17:54,01,10358390,5,2712312846,028001, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10358390,5,2712312846,028505, ,10,146988216, , , ,N,N
2021,19/10/2023 16:17:54,01,10358390,5,2712312846,028504, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,10385616,5,2712312846,028502, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,10385616,5,2712312846,028100, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,10385616,5,2712312846,028501, ,7,360492991, , , ,N,N
